Date,SP500,SMALL CAP,TBILL,GOVT IT,GOVT LT,CORP LT,INFLATION
4/30/2000,-0.0205,-0.0808,0.005040337,0.005216193,-0.005448181,-0.016069007,0.001167546
3/31/2000,-0.0301,-0.1251,0.004594907,-0.004313386,-0.007569819,-0.011464003,0.000584061
2/29/2000,0.0978,-0.0751,0.004679998,0.020343997,0.036657803,0.016938,0.008245017
1/31/2000,-0.0189,0.2358,0.0043139,0.007816603,0.026379407,0.009209013,0.005924187
12/31/1999,-0.0502,0.0595,0.004126798,-0.00533361,0.022813012,-0.002106011,0.002970947
11/30/1999,0.0589,0.1137,0.004377313,-0.004835199,-0.015452018,-0.010185995,0
10/31/1999,0.0203,0.0971,0.003622145,-0.000829691,-0.0060788,-0.002370995,0.000594479
9/30/1999,0.0633,-0.0087,0.003886725,-0.000797097,-0.001170902,0.004734996,0.001786836
8/31/1999,-0.0274,-0.0221,0.003871182,0.009748888,0.008427508,0.009316995,0.004787566
7/31/1999,-0.0049,-0.0191,0.00388472,0.001531805,-0.005088495,-0.002632997,0.002399527
6/30/1999,-0.0312,0.0092,0.003806114,-0.000508403,-0.0078594,-0.011299995,0.003008378
5/31/1999,0.0555,0.0568,0.003953888,0.003206201,-0.0077601,-0.015998006,0
4/30/1999,-0.0236,0.0387,0.003402197,-0.0147489,-0.018468412,-0.017589994,0
3/31/1999,0.0387,0.0949,0.003711281,0.002051689,0.002084311,-0.00241701,0.007272638
2/28/1999,0.04,-0.0379,0.004258596,0.008633715,-0.000803712,0.000248999,0.003039577
1/31/1999,-0.0311,-0.0687,0.003548909,-0.026241703,-0.051967995,-0.040069991,0.001217289
12/31/1998,0.0418,0.0279,0.003539317,0.005504098,0.012122207,0.012250002,0.002440519
11/30/1998,0.0576,0.0252,0.003751173,0.003679205,-0.0032212,0.001040989,-0.000609812
10/31/1998,0.0606,0.0758,0.003063824,-0.009763914,0.009666687,0.026999998,0
9/30/1998,0.0813,0.0356,0.003242495,0.004097208,-0.021844589,-0.018999991,0.002444994
8/31/1998,0.0641,0.0369,0.004577413,0.032950398,0.039451992,0.04129999,0.001223994
